# wavenumber (cm-1)	etalon position (steps)
2.930112e+03	6.020837e+03
2.932154e+03	6.042728e+03
2.934211e+03	6.064826e+03
2.936275e+03	6.086318e+03
2.938358e+03	6.109005e+03
2.939961e+03	6.124582e+03
2.941460e+03	6.142886e+03
2.943128e+03	6.156186e+03
2.944554e+03	6.174107e+03
2.946263e+03	6.192549e+03
2.947596e+03	6.207220e+03
2.949074e+03	6.226761e+03
2.950962e+03	6.250818e+03
2.952216e+03	6.269270e+03
2.953334e+03	6.288148e+03
2.955183e+03	6.312791e+03
2.956701e+03	6.331502e+03
2.962064e+03	6.398599e+03
2.964371e+03	6.425814e+03
2.966060e+03	6.445603e+03
2.967307e+03	6.463775e+03
2.969851e+03	6.501661e+03
2.971878e+03	6.532051e+03
2.973547e+03	6.554708e+03
2.975726e+03	6.590570e+03
2.976837e+03	6.608971e+03
2.978484e+03	6.641752e+03
2.981129e+03	6.687847e+03
2.982579e+03	6.713223e+03
2.984896e+03	6.758058e+03
2.985674e+03	6.772674e+03
2.989181e+03	6.852660e+03
2.989337e+03	6.858247e+03
2.991535e+03	6.913634e+03
