# motor (mm)	wavenumber (cm-1)
9.080000e+03	3.104097e+03
9.100000e+03	3.105276e+03
9.120000e+03	3.107571e+03
9.140000e+03	3.108402e+03
9.160000e+03	3.109924e+03
9.180000e+03	3.111873e+03
9.200000e+03	3.113318e+03
9.220000e+03	3.114891e+03
9.240000e+03	3.116243e+03
9.260000e+03	3.117850e+03
9.280000e+03	3.119432e+03
9.300000e+03	3.121000e+03
9.320000e+03	3.122234e+03
9.340000e+03	3.124126e+03
9.360000e+03	3.126718e+03
9.380000e+03	3.128536e+03
9.400000e+03	3.130690e+03
9.420000e+03	3.133573e+03
9.440000e+03	3.135926e+03
9.460000e+03	3.139109e+03
9.480000e+03	3.141669e+03
9.500000e+03	3.145469e+03
9.520000e+03	3.148513e+03
9.540000e+03	3.152366e+03
9.560000e+03	3.155903e+03
9.580000e+03	3.158824e+03
9.600000e+03	3.161999e+03
9.620000e+03	3.165379e+03
9.640000e+03	3.166869e+03
